facility_id,group_id,fold,latitude,longitude,operation_status,state
56216,iowa_cafo_group_0001,2,41.47134,-92.37455,Active,IA
56217,iowa_cafo_group_0002,2,40.92031,-95.67438,Active,IA
56218,iowa_cafo_group_0003,1,42.58492,-92.91373,Active,IA
56219,iowa_cafo_group_0004,2,40.61342,-94.6954,Active,IA
56220,iowa_cafo_group_0005,4,40.77613,-95.61406,Active,IA
56222,iowa_cafo_group_0006,0,42.95344,-96.19602,Active,IA
56223,iowa_cafo_group_0007,2,41.37795,-94.93266,Active,IA
56224,iowa_cafo_group_0006,0,43.00531,-96.00294,Active,IA
56225,iowa_cafo_group_0008,3,41.244,-95.31234,Active,IA
56226,iowa_cafo_group_0009,1,40.74417,-94.72213,Active,IA
56227,iowa_cafo_group_0009,1,40.7576,-94.71637,Active,IA
56228,iowa_cafo_group_0006,0,43.07789,-96.13549,Active,IA
56229,iowa_cafo_group_0010,1,40.73961,-92.58791,Active,IA
56231,iowa_cafo_group_0011,3,42.83741,-96.04854,Active,IA
56232,iowa_cafo_group_0012,3,41.08897,-95.15507,Active,IA
56233,iowa_cafo_group_0013,2,42.29427,-90.96069,Active,IA
56234,iowa_cafo_group_0014,3,41.79169,-95.62612,Active,IA
56235,iowa_cafo_group_0014,3,41.79656,-95.62809,Active,IA
56236,iowa_cafo_group_0015,4,42.25958,-94.89598,Active,IA
56238,iowa_cafo_group_0016,2,42.38481,-94.81839,Active,IA
56239,iowa_cafo_group_0009,1,40.74164,-94.70121,Active,IA
56241,iowa_cafo_group_0017,3,42.07952,-94.73071,Active,IA
56242,iowa_cafo_group_0018,2,42.12201,-94.72371,Active,IA
56243,iowa_cafo_group_0017,3,42.07706,-94.74636,Active,IA
56245,iowa_cafo_group_0019,4,41.40383,-95.1106,Active,IA
56246,iowa_cafo_group_0020,2,42.03791,-93.11553,Active,IA
56249,iowa_cafo_group_0021,1,41.98306,-94.77448,Active,IA
56251,iowa_cafo_group_0022,2,41.68867,-94.71486,Active,IA
56252,iowa_cafo_group_0023,4,42.18706,-94.83106,Active,IA
56253,iowa_cafo_group_0024,3,41.39532,-95.59815,Active,IA
56254,iowa_cafo_group_0025,2,41.53627,-94.91023,Active,IA
56255,iowa_cafo_group_0024,3,41.38971,-95.58994,Active,IA
56257,iowa_cafo_group_0026,2,42.1055,-94.83996,Active,IA
56258,iowa_cafo_group_0027,1,41.91398,-94.8161,Active,IA
56260,iowa_cafo_group_0028,2,41.57473,-94.89539,Active,IA
56261,iowa_cafo_group_0029,1,42.33989,-95.37852,Active,IA
56263,iowa_cafo_group_0026,2,42.12481,-94.83731,Active,IA
56264,iowa_cafo_group_0030,1,41.40195,-94.70577,Active,IA
56265,iowa_cafo_group_0031,1,41.26089,-95.20751,Active,IA
56266,iowa_cafo_group_0032,4,41.28806,-95.23983,Active,IA
56267,iowa_cafo_group_0032,4,41.29146,-95.23167,Active,IA
56268,iowa_cafo_group_0033,2,40.94,-95.44,Active,IA
56269,iowa_cafo_group_0023,4,42.16507,-94.82491,Active,IA
56271,iowa_cafo_group_0006,0,43.1183,-96.34882,Active,IA
56272,iowa_cafo_group_0034,4,42.03133,-94.75948,Active,IA
56273,iowa_cafo_group_0026,2,42.10815,-94.84865,Active,IA
56274,iowa_cafo_group_0023,4,42.10844,-94.90727,Active,IA
56275,iowa_cafo_group_0035,1,41.69606,-95.70267,Active,IA
56276,iowa_cafo_group_0006,0,42.99736,-96.28721,Active,IA
56278,iowa_cafo_group_0036,3,42.54986,-95.09318,Active,IA
56280,iowa_cafo_group_0006,0,43.45591,-96.19663,Active,IA
56281,iowa_cafo_group_0006,0,42.88286,-96.25329,Active,IA
56283,iowa_cafo_group_0037,3,42.42935,-95.51791,Active,IA
56284,iowa_cafo_group_0006,0,43.2152,-96.33869,Active,IA
56285,iowa_cafo_group_0038,1,43.39358,-94.32502,Active,IA
56287,iowa_cafo_group_0039,3,41.92214,-94.88751,Active,IA
56288,iowa_cafo_group_0040,1,43.01,-93.13,Active,IA
56289,iowa_cafo_group_0041,3,42.47538,-95.60744,Active,IA
56290,iowa_cafo_group_0042,2,42.10071,-95.73046,Active,IA
56291,iowa_cafo_group_0043,1,41.91729,-95.56988,Active,IA
56292,iowa_cafo_group_0044,1,40.80334,-95.51968,Active,IA
56294,iowa_cafo_group_0006,0,43.09262,-96.31456,Active,IA
56296,iowa_cafo_group_0006,0,43.08417,-95.93164,Active,IA
56298,iowa_cafo_group_0045,1,41.23311,-95.34391,Active,IA
56299,iowa_cafo_group_0046,4,41.23075,-95.26181,Active,IA
56300,iowa_cafo_group_0021,1,41.95519,-94.82245,Active,IA
56301,iowa_cafo_group_0047,4,41.31465,-95.09642,Active,IA
56302,iowa_cafo_group_0006,0,43.17094,-95.86198,Active,IA
56304,iowa_cafo_group_0048,2,41.52189,-93.23314,Active,IA
56305,iowa_cafo_group_0049,4,41.73087,-94.53069,Active,IA
56306,iowa_cafo_group_0006,0,43.13633,-96.3729,Active,IA
56307,iowa_cafo_group_0050,2,42.0125,-93.95057,Active,IA
56308,iowa_cafo_group_0051,1,41.17578,-95.4592,Active,IA
56310,iowa_cafo_group_0006,0,43.09917,-96.36158,Active,IA
56311,iowa_cafo_group_0052,3,42.4442,-95.31957,Active,IA
56313,iowa_cafo_group_0006,0,43.19074,-96.31597,Active,IA
56314,iowa_cafo_group_0053,1,41.53456,-93.29104,Active,IA
56315,iowa_cafo_group_0054,1,41.02938,-94.42322,Active,IA
56316,iowa_cafo_group_0055,4,41.62438,-94.84848,Active,IA
56317,iowa_cafo_group_0056,1,42.31248,-95.1499,Active,IA
56318,iowa_cafo_group_0057,1,41.79341,-95.73212,Active,IA
56319,iowa_cafo_group_0023,4,42.22884,-94.87821,Active,IA
56320,iowa_cafo_group_0058,1,41.75454,-92.76181,Active,IA
56321,iowa_cafo_group_0059,3,43.14175,-92.45768,Active,IA
56322,iowa_cafo_group_0060,4,43.25164,-92.77557,Active,IA
56323,iowa_cafo_group_0061,1,42.98206,-95.92773,Active,IA
56325,iowa_cafo_group_0062,1,41.98594,-90.91602,Active,IA
56326,iowa_cafo_group_0063,2,40.96562,-91.47582,Active,IA
56330,iowa_cafo_group_0064,3,41.51945,-94.642,Active,IA
56331,iowa_cafo_group_0047,4,41.31042,-95.10565,Active,IA
56332,iowa_cafo_group_0065,0,43.25685,-95.02476,Active,IA
56334,iowa_cafo_group_0066,2,41.76019,-95.16765,Active,IA
56335,iowa_cafo_group_0067,1,41.7929,-95.19153,Active,IA
56336,iowa_cafo_group_0006,0,43.16785,-95.8822,Active,IA
56339,iowa_cafo_group_0068,2,42.40381,-95.20728,Active,IA
56341,iowa_cafo_group_0027,1,41.87825,-94.87092,Active,IA
56342,iowa_cafo_group_0006,0,43.09328,-96.30932,Active,IA
56343,iowa_cafo_group_0069,3,43.29993,-94.58662,Active,IA
