checkout,relative_report,bytes,sha256,scope,decision
ersrr-ordinal-win,baseline_results.json,145294,307d51578378c0aacc5480dcb0f8bb02b0740daea57c431179b8d5379b4934fd,,
ersrr-ordinal-win,BASELINE_RESULTS.md,1879,362b2b8686ea90d4e57022e4ce1bfd74c16ca3d5b9674743d78a3d7c540ba534,,
ersrr-ordinal-win,ch4net_released_model_baseline.json,3560,8b2daae7f3e102a58475a763d2a37ebdd1c1cd1de9428328ed98d2fe854c7a36,released_ch4net_on_frozen_strict_spatial_development_cohort,
ersrr-ordinal-win,CH4NET_RELEASED_MODEL_BASELINE.md,875,14431f001ef841b28205c4a451c6cee7e13b0628008cdd90f27d2b4185b96041,,
ersrr-ordinal-win,cloudsen12_fresh_negative_cdf_spatial_prithvi.json,6525,ef401d27120b7986af2bdc8dc71734d53c64db4d0466880090face82e09dbf8a,post-test fresh external-negative safety replay for tail-calibrated spatial-Prithvi ensemble,Authorize frozen exact MARS paper evaluation.
ersrr-ordinal-win,CLOUDSEN12_FRESH_NEGATIVE_CDF_SPATIAL_PRITHVI.md,430,269cf60a0d7fa06f13c355035de747394040409ab9a51fe827a429e0dcf69583,,
ersrr-ordinal-win,cloudsen12_fresh_spatial_prithvi_evaluation.json,6044,0bc514eec21e40bb194734e9b196e0e9d4b1fd1d243df2996a153933b1cfcd2e,one-shot fresh external-negative safety evaluation for spatial-Prithvi ensemble,Reject ensemble before exact MARS paper evaluation.
ersrr-ordinal-win,CLOUDSEN12_FRESH_SPATIAL_PRITHVI_EVALUATION.md,289,aa72d6a9784093a06570a35ef791937b566498f1fc6452f13d8443c362870b29,,
ersrr-ordinal-win,cloudsen12_fresh_tail_calibrated_spatial_prithvi.json,6533,439dc04d5dfa9deb7cf8921290f644c105e551fc5b486ab7e6d0ee7b4bdd9727,post-test fresh external-negative safety replay for tail-calibrated spatial-Prithvi ensemble,Reject calibrated ensemble before exact MARS paper evaluation.
ersrr-ordinal-win,CLOUDSEN12_FRESH_TAIL_CALIBRATED_SPATIAL_PRITHVI.md,431,ac7f61626371308b1637f1076421b5a59008c25c202bd21951d02e0c13493a1d,,
ersrr-ordinal-win,cloudsen12_fresh_test_scene_head_evaluation.json,6600,2777cc0b4b4929ed68301f6b13a691d0e8d8c91aecba8a83cc639a1d950e21bc,one-shot fresh external-negative safety evaluation; exact MARS paper cache unopened,Authorize the fixed candidate for exact MARS paper evaluation.
ersrr-ordinal-win,CLOUDSEN12_FRESH_TEST_SCENE_HEAD_EVALUATION.md,518,aae82d3384e5b19b842168e7b3d6a761ff7312ba9fc96438f83540df59dc1a05,,
ersrr-ordinal-win,emit_v002_external_confirmation.json,70318,9754c91b8ec54e8e137191195cb28d05f4d1fa8c5ef87d8dfdd8163f289d2c27,once_only_emit_v002_external_positive_confirmation,
ersrr-ordinal-win,EMIT_V002_EXTERNAL_CONFIRMATION.md,1073,73100740d0efb00cd7a7ff452ee14bebb8fcd06057a2c24a40417c04b6bcbe6a,,
ersrr-ordinal-win,emit_v002_external_posthoc_diagnostic.json,378283,c87a9c01aed9a13b245d2ffca4f68a1fcf758b032a380fec7e0bc8c4c669949c,frozen_emit_v002_external_posthoc_diagnostic_no_tuning,
ersrr-ordinal-win,EMIT_V002_EXTERNAL_POSTHOC_DIAGNOSTIC.md,2693,1000fbb2752c1c8c2f579828cc1fbb0b556f37baccd1fa07e07f676d1d01c98e,,
ersrr-ordinal-win,mars_adaptive_prithvi_development_scores.json,989,6fbf152fe2030d8aa8f8367580a68fff0f09d2b510c02fe891ba9a0eb45d6458,deterministic adaptive Prithvi development score reproduction; paper cache not loaded,
ersrr-ordinal-win,mars_adaptive_prithvi_paper_posttest.json,7675,9a37b84e410943953f3959a4ca8ae2c3d79db5cd90cb494bd1e695db30aca5f6,transparent post-test adaptive Prithvi replay on exact MARS-S2L comparator,Reject adaptive Prithvi as final successor; at least one exact paper gate fails.
ersrr-ordinal-win,MARS_ADAPTIVE_PRITHVI_PAPER_POSTTEST.md,700,1eb684565aa885ebed788a6cd09edbb9bbf3729d6f40a8f2174e55f522e165f3,,
ersrr-ordinal-win,mars_adaptive_prithvi_probe.json,20955,3a0478d9abdb94a76815744cefcf7ac181765c20e2969a7a40f310f272a03a8b,five-fold unlabeled-target adaptive Prithvi probe; paper cache not loaded,Freeze adaptive Prithvi probe for one label-free paper adaptation.
ersrr-ordinal-win,MARS_ADAPTIVE_PRITHVI_PROBE.md,378,d02929e8d5b6b240e5661a2ac89cb8a436b561220d800aa8029ece912c329149,,
ersrr-ordinal-win,mars_all_development_scene_refit_paper_posttest.json,7052,d101752cd3764da055746e5738ed58a9bfa28366575690bc5a66a8d8cd648b71,transparent post-test replay of fixed all-development refit on exact paper rows,Reject the all-development refit; at least one exact paper scene gate fails.
ersrr-ordinal-win,MARS_ALL_DEVELOPMENT_SCENE_REFIT_PAPER_POSTTEST.md,578,9df76d871faeb0e9cd15221bbb2d99b023e4ddc5cc711193b5fa6eccd63eabbb,,
ersrr-ordinal-win,mars_anchored_full_finetune_pilot.json,49704,1d870c08e27111859e03d10c0479bf15297e19203c4837f687027dd4b7f0cba1,fold-3/fold-4 cross-fit of weight-space-anchored full released-U-Net adaptation with source-disjoint exact-L1C auxiliary supervision,"Reject this architecture before external development, fold 2, or official-test scoring."
ersrr-ordinal-win,MARS_ANCHORED_FULL_FINETUNE_PILOT.md,474,8fdcf31147e5806cb7591f227c2debfef0230bb1b715036c43bcc3e527b87bf7,,
ersrr-ordinal-win,mars_causal_residual_ranker_folds34.json,69640,8c816b02401f234f4b3b30cc15ee94383daa9acc92d1fe7ff3dbc0cdf93e74d2,folds-3/4 baseline-preserving causal residual cross-fit,Reject baseline-preserving causal residual ranking before fold-0/1/2 or external access.
ersrr-ordinal-win,MARS_CAUSAL_RESIDUAL_RANKER_FOLDS34.md,1217,bccb4d872f8273a9ad4fcc2a8fb33298671af4bae5e3ad5c2fb8549b58974eed,,
ersrr-ordinal-win,mars_cloudsen12_negative_augmented_xgboost.json,14793,0255a3202b47ab7f038f87832d51ca0bfa32ba2dab2b07375beb3131903712c9,development-only CloudSEN12-negative scene complement; no paper or CloudSEN12 test outcomes loaded,Reject the CloudSEN12-negative branch before any sealed-negative or paper replay.
ersrr-ordinal-win,MARS_CLOUDSEN12_NEGATIVE_AUGMENTED_XGBOOST.md,612,fc5eeb70f5983c47badfc8b4d03c5291888ee4e986c18399c63f0a938ea0b4b2,,
ersrr-ordinal-win,mars_cloudsen12_spatial_augmented_xgboost.json,26657,824e6694138f95dbaf1616f79a0d711eee94bc140df3e5c0cf5bc9b367c1cf1c,development-only CloudSEN12+ spatial-negative augmentation; paper test not loaded,Reject the spatial-negative scene complement before paper-cache replay.
ersrr-ordinal-win,MARS_CLOUDSEN12_SPATIAL_AUGMENTED_XGBOOST.md,586,e390b7e2636ee2bad3114c5dce4f3d8994e40842f364f8aec65816765f5522bf,,
ersrr-ordinal-win,mars_context_scene_ranker_fold0.json,4717,a08ab9bd0bf550e132277aced17f01410fa5f0a5a532188bc21be40189647c58,one-shot site-context fold-0 architecture selection; fold 1 and paper test not loaded,Reject the frozen site-context architecture on fold 0.
ersrr-ordinal-win,MARS_CONTEXT_SCENE_RANKER_FOLD0.md,420,edcf206212ac42c0917646f28a28f2b2046e4c392f1df634ab11b5f3c11d86f5,,
ersrr-ordinal-win,mars_context_scene_ranker_inner_fold2.json,75047,c247c1326bbd621d0148d4fffb2045f1fe4f132c134b449f9c9238f4bec23bfa,"site-context inner selection: train folds 3-4, validate fold 2",Refit the context head on folds 2-4 and freeze its fold-0 evaluation.
ersrr-ordinal-win,MARS_CONTEXT_SCENE_RANKER_INNER_FOLD2.md,413,267d1d57b6706eb659d8605488ff07fae3da3d9b47fc04857258b30f11be7574,,
ersrr-ordinal-win,mars_counterfactual_scene_ranker_folds34.json,180305,faae5ec16a0caa740564073ca5f7cdbbe8d65a1692dec552662e95c5cfa3b76f,"development folds 3/4 honest cross-fit; no folds 0/1/2, exact-paper, or fresh-external access",Reject this counterfactual ranker family before any fold-0/1/2 or external extraction.
ersrr-ordinal-win,MARS_COUNTERFACTUAL_SCENE_RANKER_FOLDS34.md,330,8b651fed25172317e751a317e39d5a88b58ba0cb6a27d813588dcc77c799c1e3,,
ersrr-ordinal-win,mars_crossfold_bagged_scene_head.json,26776,d9d8da26df1912ac62ae71c32ba8bab108d28f5367feed59656fb8a0d118760e,five-fold nested OOF development selection; paper cache not loaded,Reject crossfold bagging before paper-cache scoring.
ersrr-ordinal-win,MARS_CROSSFOLD_BAGGED_SCENE_HEAD.md,611,87d1fa101f065b8ba73f84bba6997175bf7741f6ca72a9552097dac275f95087,,
ersrr-ordinal-win,mars_crossfold_bagged_trust_region.json,30805,e52b74527eba291c9ac0e94be7a4efe483d5c4714738dce062bc8a41627e12d2,five-fold nested OOF trust-region selection; paper cache not loaded,Reject the bagged trust region before paper-cache scoring.
ersrr-ordinal-win,MARS_CROSSFOLD_BAGGED_TRUST_REGION.md,591,a44872fe7688ffc101d3f3a64840c90e695d2dc5b698da2f455df47869552f65,,
ersrr-ordinal-win,mars_crossfold_hard_positive_bagging.json,67550,f3a67223b3d0012f3be14ab8ba21df1910662822313c64a876e09f9c5e8535f7,five-fold nested OOF hard-positive bagging; paper cache not loaded,Reject hard-positive crossfold bagging before paper-cache scoring.
ersrr-ordinal-win,MARS_CROSSFOLD_HARD_POSITIVE_BAGGING.md,666,8b889a5af8f2ffb1f602a888ebafb2a1c7c1cf01cad42f4e544548eed2088755,,
ersrr-ordinal-win,mars_dense_ap_honest_crossfit_ranker_internal_rejection.json,4566,b137fe9e244d794ec406b20a3d16f666aa3f5ecfba3a6e8f058aeb96aba59b5e,internal-only AP residual ranker selection on honest fold-3/4 dense-Prithvi features,"Retire this dense scene-ranker branch. Do not evaluate fold 2, write an artifact, start five-fold refitting, or access external inputs."
ersrr-ordinal-win,mars_dense_ap_residual_ranker.json,24743,21388fa3e45730bfef7b1c2f7abe4b02a83ce2d62a3a69e14b8f0da2a459c017,AP-focused residual ranker on frozen dense-Prithvi development features,Reject the dense AP residual before full cross-fit or external scoring.
ersrr-ordinal-win,MARS_DENSE_AP_RESIDUAL_RANKER.md,374,dbeea72794c1aa9818b13b4cc37234c443cbdb14c12f19b7eef62be386fe82fe,,
ersrr-ordinal-win,mars_dense_invariant_complementary_pair.json,64380,997642cf21c5957d97760d76d6674526b6615882f55d93b44884fce617bf2a9a,exploratory complementary invariant anchor and rare-site booster on honest dense-Prithvi development features,Freeze the selected complementary pair for fold-2 confirmation.
ersrr-ordinal-win,mars_dense_invariant_global_shrinkage.json,37664,f3228425fe595c2363d5b3d17831aee103b022f775088bfd8ac0c4d96075b57f,post-fold2-failure uniform shrinkage of the fixed invariant pair using folds 3+4 only,Freeze the selected global shrinkage for folds-0/1 confirmation.
ersrr-ordinal-win,mars_dense_invariant_nonlinear_residuals.json,103090,d9b1b9b31e1945518887e4f8f5d0d1e5b32c0928a36d804b3b8320c74ee7af8e,exploratory label-free nonlinear gates over direction-stable honest dense-Prithvi development residuals,Retire invariant nonlinear residual gates before fold 2 or external access.
ersrr-ordinal-win,mars_dense_invariant_pair_fold2.json,9732,f3554d9675c0415ebfc90029d1faaf8d7cb90163b0b92fbd35938c916be067bb,one-shot fixed-candidate fold-2 confirmation,Retire the fixed pair before fresh or exact-paper evaluation; resume development research without reusing fold 2.
ersrr-ordinal-win,mars_dense_invariant_shrinkage_folds01.json,11090,7e921fa2f7134bd5bd82477ab76c345eefbccc4053eadf2815b265f3754a63eb,one-shot fixed-shrinkage folds-0/1 confirmation,Retire this shrinkage before fresh or exact-paper access and resume research without reusing folds 0/1/2.
ersrr-ordinal-win,mars_dense_invariant_site_linear_ranker.json,163304,a2324364e2e0961a70ec75b40484a18759909d8b1fac388f082e1d227b12588d,exploratory cross-fitted invariant site-balanced sparse linear ranker on honest dense-Prithvi development features,Retire this invariant site-linear ranker family before fold 2 or external access.
ersrr-ordinal-win,mars_dense_invariant_smooth_site_trust.json,32692,9a96633535c1608638917bd5fb7d134484caca02459629f27eccd3ded88747ec,post-fold2-failure smooth label-free site trust on the fixed invariant pair using folds 3+4 only,Retire smooth site-trust routing before folds 0/1 or external access.
ersrr-ordinal-win,mars_dense_invariant_univariate_exploration.json,16749,217bc3484bcc75a826b2630186b7ead271d7115cb4577dbd7f979a20826d2ef1,exploratory invariant-univariate audit on honest dense-Prithvi development features,Freeze the selected sparse signal in a separate protocol before fold 2.
ersrr-ordinal-win,mars_dense_invariant_unseen_site_router.json,89617,6564bd0ff88b0b2df3f58f2b03bcee4eb56773421620055e59cf7f82005f8185,post-fold2-failure development-only label-free unseen-site routing on folds 3+4,Freeze the selected router for independent folds-0/1 confirmation.
ersrr-ordinal-win,mars_dense_invariant_unseen_site_router_adjudication.json,1257,5656e4df41309d14ebed06404cadbf54c8089341b0ea4d66517de5e9ee822ee1,cross-experiment promotion adjudication for the label-free unseen-site router,Reject the router family: its only development passer routes every unseen site and is exactly the fixed pair already rejected on independent fold 2.
ersrr-ordinal-win,mars_dense_prithvi_crossfit_representations.json,10540,101b96ed361bd322a1951e40c6e24ed6cb255ddbc5972f721b295fd5e3048055,honest fold-3/4 crossfit dense-Prithvi representation endpoints,
ersrr-ordinal-win,mars_dense_prithvi_fold2_excluding_adapter.json,3287,f060d8fdb8b012100ba55a48f25a905f4cb76c381e0cf6de53f40e2a8103d350,fit-only dense-Prithvi adapter on folds 3+4 for one-shot fold-2 feature extraction,
ersrr-ordinal-win,mars_dense_prithvi_folds01_excluding_adapter.json,3410,a435292b1eb52f2efb94ab543e0fb4ec0903767d601f5de7c77b08baa331f702,fit-only dense-Prithvi adapter on folds 3+4 for one-shot folds-0/1 feature extraction,
ersrr-ordinal-win,mars_dense_prithvi_mask_preservation.json,5617,b48f92c60f6419e6dba663f0486bac59df42b891cdf819c622441c2d1d7c46a5,development-only reproduction and preservation of the dense Prithvi mask branch,Preserve the mask adapter for independent full-development cross-fitting.
ersrr-ordinal-win,MARS_DENSE_PRITHVI_MASK_PRESERVATION.md,401,d13e26f1823b3c5adf83894ed096424c4f7d062abd6246706b81cdd98ac715b9,,
ersrr-ordinal-win,mars_dense_prithvi_teacher_pilot.json,18456,327d057af6f99cb2770f8701bbd83e2cdf52ee1de80a1499526a439380ffe995,dense frozen-Prithvi token fusion into the released MARS-S2L U-Net,Reject dense token fusion pilot before external scoring.
ersrr-ordinal-win,MARS_DENSE_PRITHVI_TEACHER_PILOT.md,469,a086217036b96855b938cbf9ab323ddbb4b36da294b3a8368de9b944b7983401,,
ersrr-ordinal-win,mars_dense_sparse_invariant_ensemble_exploration.json,7238,2e338ba18809c5e41525a98703db531e0defc14fee4a4277d0398ef54307d783,exploratory sparse invariant ensemble on honest dense-Prithvi development features,Retire this sparse invariant ensemble family before fold 2 or external access.
ersrr-ordinal-win,mars_dev_pixel_baselines.json,5304,695af5cb24c4335c373bd98b5b06488f34caaf21627a2dbf249e6cb171f2ba9f,predeclared_spatial_development_baselines_not_final_paper_claim,"Validation-selected spatial baseline: `pixel_logistic_13_features`. It does not clear the promotion gate. Local per-pixel spectra are insufficient; implement the predeclared multi-scale target/reference encoder with joint scene presence, segmentation, and observability heads."
ersrr-ordinal-win,MARS_DEV_PIXEL_BASELINES.md,1275,51362b599c748a894f7760bba4c4dd829948deb816707d072b222dbdb8aeef7f,,
ersrr-ordinal-win,mars_dev_scene_baselines.json,14804,8121ed9bd6826309758884c27c5fa3ae7546d787a311779fad0076f5d0be2bf1,group_disjoint_development_tranche_not_final_paper_claim,"Validation-selected development baseline: `raw_scene_logistic`. It does not clear the research promotion gate; proceed to a joint presence/segmentation model with hard-negative mining, not a larger backbone alone."
ersrr-ordinal-win,MARS_DEV_SCENE_BASELINES.md,1469,a589a56d1fa9298191a7eaca1cc50fb83f71d2d59e0bfec414326a33780c3451,,
ersrr-ordinal-win,mars_dinov3_methane_fusion_all_score_scene.json,41556,e43151c2ce8df8192a3acc1828204084615ef36b8ebf5df01b0a9ba94df1dc08,two-fold DINOv3 semantic-change and counterfactual-methane spatial fusion pilot,Reject this fixed DINOv3 fusion pilot without external scoring.
ersrr-ordinal-win,MARS_DINOV3_METHANE_FUSION_ALL_SCORE_SCENE.md,404,6a601a6ead0d0d8938355301304dd7ba8aef63622e50471f31bbe6aa46c0b76d,,
ersrr-ordinal-win,mars_dinov3_methane_fusion_dense_surrogate.json,41253,7f7f2fdb7aa80d35d0ec5fb7a08d1b579155efc82b05007c8d694b795343e72b,two-fold DINOv3 semantic-change and counterfactual-methane spatial fusion pilot,Reject this fixed DINOv3 fusion pilot without external scoring.
ersrr-ordinal-win,MARS_DINOV3_METHANE_FUSION_DENSE_SURROGATE.md,404,5ea7cf3de11f9cc2c99bbfd1d6489c6d3dcf147b6726796e2b2c29d1ed16e957,,
ersrr-ordinal-win,mars_dinov3_methane_fusion_gradient_fix.json,41369,e60c8bd49d3309ac8592958d295a3f633fe765b610a6adf79c1f4ba29b174949,two-fold DINOv3 semantic-change and counterfactual-methane spatial fusion pilot,Reject this fixed DINOv3 fusion pilot without external scoring.
ersrr-ordinal-win,MARS_DINOV3_METHANE_FUSION_GRADIENT_FIX.md,404,79891445a9e9ad16bf7c45c9a0b46b98e3cdd00e089bf5f910f0b23400920957,,
ersrr-ordinal-win,mars_dinov3_methane_fusion_pilot.json,39581,81da27897942b0f78f3234ca64892bb4dde83e78a1774956ed4446298b342149,two-fold DINOv3 semantic-change and counterfactual-methane spatial fusion pilot,Reject this fixed DINOv3 fusion pilot without external scoring.
ersrr-ordinal-win,MARS_DINOV3_METHANE_FUSION_PILOT.md,404,adea9823690f9cabcaf11dea23173b47480fc7ad84fd963d0c28c92069915fd2,,
ersrr-ordinal-win,mars_dinov3_multiseed_s2_confirmation.json,50689,38e0718c51fb6025fba6a733a3d7e86f11d9a329c39a956b2185dab6d07c098f,three-seed DINOv3 dense-evidence confirmation with Sentinel-2-only scene routing,"Reject this fixed confirmation without fold-2, external, or official-test scoring."
ersrr-ordinal-win,MARS_DINOV3_MULTISEED_S2_CONFIRMATION.md,423,fbe110cfcd9e76cceeab61a570c34e381c73389d168227f1558d467c68cfa8cb,,
ersrr-ordinal-win,mars_dofa_anchored_protected_ensemble_folds34.json,15218,85d5959061cc77d4b2a32f12609c7852af545ff8df6923273d6ae245d020eec1,fold-3/fold-4 protected ensemble of independently learned train-fitted DOFA-v2 and expanded-real-data anchored-U-Net scene residuals with fixed significant dense transport,Freeze the selected ensemble for a new fold-2 confirmation; folds 0/1 and official test remain closed.
